Week Ending,Provider State,Newcases
03/21/21,NV,14.0
03/21/21,NY,281.0
03/21/21,OH,110.0
03/21/21,OK,35.0
03/21/21,OR,15.0
03/21/21,PA,144.0
03/21/21,PR,0.0
03/21/21,RI,19.0
03/21/21,SC,21.0
03/21/21,SD,5.0
03/21/21,TN,46.0
03/21/21,TX,167.0
03/21/21,UT,16.0
03/21/21,VA,55.0
03/21/21,VT,1.0
03/21/21,WA,38.0
03/21/21,WI,49.0
03/21/21,WV,1.0
03/21/21,WY,1.0
03/28/21,AK,0.0
03/28/21,AL,8.0
03/28/21,AR,12.0
03/28/21,AZ,27.0
03/28/21,CA,311.0
03/28/21,CO,23.0
03/28/21,CT,61.0
03/28/21,DC,2.0
03/28/21,DE,7.0
03/28/21,FL,131.0
03/28/21,GA,44.0
03/28/21,GU,0.0
03/28/21,HI,0.0
03/28/21,IA,25.0
03/28/21,ID,0.0
03/28/21,IL,115.0
03/28/21,IN,20.0
03/28/21,KS,27.0
03/28/21,KY,6.0
03/28/21,LA,18.0
03/28/21,MA,143.0
03/28/21,MD,35.0
03/28/21,ME,4.0
03/28/21,MI,110.0
03/28/21,MN,49.0
03/28/21,MO,34.0
03/28/21,MS,11.0
03/28/21,MT,26.0
03/28/21,NC,58.0
03/28/21,ND,0.0
03/28/21,NE,12.0
03/28/21,NH,6.0
03/28/21,NJ,192.0
03/28/21,NM,21.0
03/28/21,NV,14.0
03/28/21,NY,248.0
03/28/21,OH,65.0
03/28/21,OK,14.0
03/28/21,OR,20.0
03/28/21,PA,109.0
03/28/21,PR,0.0
03/28/21,RI,26.0
03/28/21,SC,17.0
03/28/21,SD,9.0
03/28/21,TN,42.0
03/28/21,TX,126.0
03/28/21,UT,22.0
03/28/21,VA,37.0
03/28/21,VT,2.0
03/28/21,WA,40.0
03/28/21,WI,25.0
03/28/21,WV,6.0
03/28/21,WY,4.0
04/04/21,AK,2.0
04/04/21,AL,17.0
04/04/21,AR,10.0
04/04/21,AZ,46.0
04/04/21,CA,308.0
04/04/21,CO,23.0
04/04/21,CT,80.0
04/04/21,DC,1.0
04/04/21,DE,10.0
04/04/21,FL,112.0
04/04/21,GA,41.0
04/04/21,GU,0.0
04/04/21,HI,0.0
04/04/21,IA,23.0
04/04/21,ID,0.0
04/04/21,IL,85.0
04/04/21,IN,15.0
04/04/21,KS,24.0
04/04/21,KY,5.0
04/04/21,LA,15.0
04/04/21,MA,105.0
04/04/21,MD,39.0
04/04/21,ME,7.0
04/04/21,MI,102.0
04/04/21,MN,48.0
04/04/21,MO,42.0
04/04/21,MS,13.0
04/04/21,MT,9.0
04/04/21,NC,67.0
04/04/21,ND,1.0
04/04/21,NE,6.0
04/04/21,NH,4.0
04/04/21,NJ,184.0
04/04/21,NM,18.0
04/04/21,NV,10.0
04/04/21,NY,247.0
04/04/21,OH,74.0
04/04/21,OK,16.0
04/04/21,OR,32.0
04/04/21,PA,139.0
04/04/21,PR,0.0
04/04/21,RI,19.0
04/04/21,SC,21.0
04/04/21,SD,3.0
04/04/21,TN,35.0
04/04/21,TX,133.0
04/04/21,UT,17.0
04/04/21,VA,23.0
04/04/21,VT,0.0
04/04/21,WA,38.0
04/04/21,WI,29.0
04/04/21,WV,3.0
04/04/21,WY,7.0
04/11/21,AK,2.0
04/11/21,AL,16.0
04/11/21,AR,10.0
04/11/21,AZ,17.0
04/11/21,CA,273.0
04/11/21,CO,13.0
04/11/21,CT,68.0
04/11/21,DC,1.0
04/11/21,DE,9.0
04/11/21,FL,132.0
04/11/21,GA,37.0
04/11/21,GU,0.0
04/11/21,HI,3.0
04/11/21,IA,25.0
04/11/21,ID,7.0
04/11/21,IL,99.0
04/11/21,IN,14.0
04/11/21,KS,25.0
04/11/21,KY,4.0
04/11/21,LA,7.0
04/11/21,MA,116.0
04/11/21,MD,45.0
04/11/21,ME,3.0
04/11/21,MI,128.0
04/11/21,MN,55.0
04/11/21,MO,42.0
04/11/21,MS,6.0
04/11/21,MT,5.0
04/11/21,NC,54.0
04/11/21,ND,6.0
04/11/21,NE,14.0
04/11/21,NH,1.0
04/11/21,NJ,167.0
04/11/21,NM,13.0
04/11/21,NV,9.0
04/11/21,NY,253.0
04/11/21,OH,68.0
04/11/21,OK,30.0
04/11/21,OR,21.0
04/11/21,PA,156.0
04/11/21,PR,0.0
04/11/21,RI,8.0
04/11/21,SC,32.0
04/11/21,SD,7.0
04/11/21,TN,50.0
04/11/21,TX,103.0
04/11/21,UT,19.0
04/11/21,VA,28.0
04/11/21,VT,5.0
04/11/21,WA,33.0
04/11/21,WI,18.0
04/11/21,WV,3.0
04/11/21,WY,4.0
04/18/21,AK,2.0
04/18/21,AL,22.0
04/18/21,AR,9.0
04/18/21,AZ,37.0
04/18/21,CA,273.0
04/18/21,CO,12.0
04/18/21,CT,71.0
04/18/21,DC,1.0
04/18/21,DE,4.0
04/18/21,FL,142.0
04/18/21,GA,23.0
04/18/21,GU,0.0
04/18/21,HI,1.0
04/18/21,IA,25.0
04/18/21,ID,0.0
04/18/21,IL,100.0
04/18/21,IN,17.0
04/18/21,KS,15.0
04/18/21,KY,11.0
04/18/21,LA,18.0
04/18/21,MA,134.0
04/18/21,MD,43.0
04/18/21,ME,4.0
04/18/21,MI,145.0
04/18/21,MN,53.0
04/18/21,MO,31.0
04/18/21,MS,7.0
04/18/21,MT,9.0
04/18/21,NC,52.0
04/18/21,ND,1.0
04/18/21,NE,17.0
04/18/21,NH,9.0
04/18/21,NJ,175.0
04/18/21,NM,19.0
04/18/21,NV,8.0
04/18/21,NY,192.0
04/18/21,OH,86.0
04/18/21,OK,11.0
04/18/21,OR,21.0
04/18/21,PA,152.0
04/18/21,PR,0.0
04/18/21,RI,3.0
04/18/21,SC,10.0
04/18/21,SD,9.0
04/18/21,TN,30.0
04/18/21,TX,112.0
04/18/21,UT,22.0
04/18/21,VA,57.0
04/18/21,VT,3.0
04/18/21,WA,31.0
04/18/21,WI,15.0
04/18/21,WV,2.0
04/18/21,WY,6.0
04/25/21,AK,2.0
04/25/21,AL,26.0
04/25/21,AR,17.0
04/25/21,AZ,20.0
04/25/21,CA,285.0
04/25/21,CO,16.0
04/25/21,CT,59.0
04/25/21,DC,1.0
04/25/21,DE,6.0
04/25/21,FL,122.0
04/25/21,GA,32.0
04/25/21,GU,0.0
04/25/21,HI,3.0
04/25/21,IA,18.0
04/25/21,ID,1.0
04/25/21,IL,117.0
04/25/21,IN,9.0
04/25/21,KS,19.0
04/25/21,KY,12.0
04/25/21,LA,13.0
04/25/21,MA,105.0
04/25/21,MD,47.0
04/25/21,ME,14.0
04/25/21,MI,187.0
04/25/21,MN,62.0
04/25/21,MO,136.0
04/25/21,MS,9.0
04/25/21,MT,24.0
04/25/21,NC,70.0
04/25/21,ND,9.0
04/25/21,NE,11.0
04/25/21,NH,9.0
04/25/21,NJ,173.0
04/25/21,NM,12.0
04/25/21,NV,7.0
04/25/21,NY,213.0
04/25/21,OH,95.0
04/25/21,OK,21.0
04/25/21,OR,25.0
04/25/21,PA,170.0
04/25/21,PR,0.0
04/25/21,RI,6.0
04/25/21,SC,13.0
04/25/21,SD,9.0
04/25/21,TN,53.0
04/25/21,TX,112.0
04/25/21,UT,19.0
04/25/21,VA,29.0
04/25/21,VT,0.0
04/25/21,WA,44.0
04/25/21,WI,18.0
04/25/21,WV,2.0
04/25/21,WY,9.0
05/02/21,AK,2.0
05/02/21,AL,28.0
05/02/21,AR,5.0
05/02/21,AZ,13.0
05/02/21,CA,226.0
05/02/21,CO,12.0
05/02/21,CT,62.0
05/02/21,DC,0.0
05/02/21,DE,6.0
05/02/21,FL,134.0
05/02/21,GA,21.0
05/02/21,GU,0.0
05/02/21,HI,0.0
05/02/21,IA,22.0
05/02/21,ID,6.0
05/02/21,IL,127.0
05/02/21,IN,14.0
05/02/21,KS,15.0
05/02/21,KY,12.0
05/02/21,LA,7.0
05/02/21,MA,106.0
05/02/21,MD,24.0
05/02/21,ME,7.0
05/02/21,MI,125.0
05/02/21,MN,51.0
05/02/21,MO,33.0
05/02/21,MS,3.0
05/02/21,MT,10.0
05/02/21,NC,76.0
05/02/21,ND,4.0
05/02/21,NE,16.0
05/02/21,NH,6.0
05/02/21,NJ,186.0
05/02/21,NM,10.0
05/02/21,NV,18.0
05/02/21,NY,188.0
05/02/21,OH,78.0
05/02/21,OK,20.0
05/02/21,OR,17.0
05/02/21,PA,154.0
05/02/21,PR,0.0
05/02/21,RI,13.0
05/02/21,SC,7.0
05/02/21,SD,8.0
05/02/21,TN,31.0
05/02/21,TX,110.0
05/02/21,UT,11.0
05/02/21,VA,26.0
05/02/21,VT,0.0
05/02/21,WA,21.0
05/02/21,WI,20.0
05/02/21,WV,2.0
05/02/21,WY,6.0
05/09/21,AK,3.0
05/09/21,AL,23.0
05/09/21,AR,11.0
05/09/21,AZ,24.0
05/09/21,CA,270.0
05/09/21,CO,18.0
05/09/21,CT,64.0
05/09/21,DC,1.0
05/09/21,DE,4.0
05/09/21,FL,160.0
05/09/21,GA,26.0
05/09/21,GU,0.0
05/09/21,HI,0.0
05/09/21,IA,20.0
05/09/21,ID,0.0
05/09/21,IL,128.0
05/09/21,IN,20.0
05/09/21,KS,34.0
